"Date and Time Run 1","Time (s) Run 1","Angle (rad) Run 1","Angular Velocity (rad/s) Run 1","Angular Acceleration (rad/s²) Run 1","Position (m) Run 1","Velocity (m/s) Run 1","Acceleration, 975-866 (m/s²) Run 1","Voltage (V) Run 1","霍尔电压 (mV) Run 1"
10/31/2025 03:50:33 pm,0.000,0.000,,,0.0000,,,-0.016,-0.21
10/31/2025 03:50:33 pm,0.050,0.000,0.000,,0.0000,0.000,,-0.021,-0.28
10/31/2025 03:50:33 pm,0.100,0.000,0.000,0.000,0.0000,0.000,0.000,-0.016,-0.21
10/31/2025 03:50:33 pm,0.150,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.28
10/31/2025 03:50:33 pm,0.200,0.000,0.000,0.000,0.0000,0.000,0.000,-0.016,-0.21
10/31/2025 03:50:33 pm,0.250,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.27
10/31/2025 03:50:33 pm,0.300,0.000,0.000,0.000,0.0000,0.000,0.000,-0.016,-0.21
10/31/2025 03:50:33 pm,0.350,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.27
10/31/2025 03:50:33 pm,0.400,0.000,0.000,0.000,0.0000,0.000,0.000,-0.016,-0.20
10/31/2025 03:50:33 pm,0.450,0.000,0.000,0.000,0.0000,0.000,0.000,-0.020,-0.27
10/31/2025 03:50:33 pm,0.500,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:33 pm,0.550,0.000,0.000,0.000,0.0000,0.000,0.000,-0.020,-0.27
10/31/2025 03:50:33 pm,0.600,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:33 pm,0.650,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.28
10/31/2025 03:50:33 pm,0.700,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:33 pm,0.750,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.27
10/31/2025 03:50:33 pm,0.800,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:33 pm,0.850,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.27
10/31/2025 03:50:33 pm,0.900,0.000,0.000,0.000,0.0000,0.000,0.000,-0.016,-0.20
10/31/2025 03:50:33 pm,0.950,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.28
10/31/2025 03:50:34 pm,1.000,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:34 pm,1.050,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.27
10/31/2025 03:50:34 pm,1.100,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:34 pm,1.150,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.28
10/31/2025 03:50:34 pm,1.200,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:34 pm,1.250,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.27
10/31/2025 03:50:34 pm,1.300,0.000,0.000,0.000,0.0000,0.000,0.000,-0.015,-0.20
10/31/2025 03:50:34 pm,1.350,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.27
10/31/2025 03:50:34 pm,1.400,0.000,0.000,0.000,0.0000,0.000,0.000,-0.016,-0.20
10/31/2025 03:50:34 pm,1.450,0.000,0.000,0.000,0.0000,0.000,0.000,-0.021,-0.28
10/31/2025 03:50:34 pm,1.500,0.000,0.000,0.000,0.0000,0.000,0.000,-0.016,-0.21
